celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,is_elimination_week,elimination_type,eliminated_week,is_bottom_two
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6.0,5.0,5.0,0.0,6.0,6.0,6.0,0.0,6.0,5.0,5.0,0.0,6.0,4.0,5.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,5.0,False
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,9.0,10.0,9.0,0.0,9.0,9.0,10.0,0.0,10.0,9.5,10.0,0.0,9.0,8.5,9.0,0.0,10.0,10.0,10.0,0.0,9.6666,9.0,9.6666,0.0,0.0,0.0,0.0,0.0,False,Third_Place,,False
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7.0,7.0,7.0,0.0,8.0,9.0,9.0,0.0,7.0,8.0,8.0,0.0,9.0,8.0,9.0,0.0,10.0,10.0,10.0,0.0,9.0,9.0,10.0,0.0,9.0,8.5,9.5,0.0,10.0,9.0,10.0,0.0,10.0,9.5,10.0,0.0,9.6666,9.6666,10.0,0.0,0.0,0.0,0.0,0.0,False,Winner,,False
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6.0,6.0,7.0,0.0,6.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,3.0,False
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6.0,6.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,2.0,False
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6.0,6.0,6.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,7.0,8.0,8.0,0.0,7.0,7.0,7.0,0.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,6.0,False
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5.0,4.0,4.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,6.0,6.0,5.0,0.0,7.0,7.0,7.0,0.0,6.0,6.5,6.5,0.0,6.5,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,8.0,False
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,10.0,9.0,9.0,0.0,8.0,8.0,9.0,0.0,9.0,9.0,9.0,0.0,10.0,9.5,10.0,0.0,9.5,9.0,9.0,0.0,10.0,10.0,10.0,0.0,9.6666,9.3333,9.6666,0.0,0.0,0.0,0.0,0.0,False,Runner_up,,False
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5.0,5.0,5.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,4.0,False
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,8.0,7.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,0.0,9.0,8.0,8.0,0.0,8.5,8.5,8.5,0.0,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,8.0,False
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8.0,8.0,8.0,0.0,7.0,7.0,7.0,0.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,0.0,8.0,9.0,9.0,0.0,8.0,7.0,7.0,0.0,8.0,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,7.0,False
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9.0,8.0,9.0,0.0,9.0,8.0,9.0,0.0,9.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,9.0,9.0,10.0,0.0,9.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,6.0,False
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,9.0,8.0,9.0,0.0,8.0,10.0,9.0,0.0,8.0,9.0,8.0,0.0,9.0,9.0,9.0,0.0,8.5,8.5,9.5,0.0,8.5,8.5,8.0,0.0,9.5,10.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,9.0,False
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6.0,6.0,6.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,4.0,False
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,1.0,False
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,2.0,False
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,8.0,9.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,7.0,8.0,0.0,9.0,10.0,9.0,0.0,9.0,8.5,8.5,0.0,9.5,9.5,9.5,0.0,10.0,10.0,10.0,0.0,9.0,9.3333,9.6666,0.0,0.0,0.0,0.0,0.0,False,Winner,,False
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,8.0,8.0,8.0,0.0,7.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,0.0,10.0,9.0,10.0,0.0,10.0,10.0,10.0,0.0,9.0,9.0,9.0,0.0,9.0,9.5,9.5,0.0,10.0,10.0,10.0,0.0,9.3333,9.3333,9.6666,0.0,0.0,0.0,0.0,0.0,False,Runner_up,,False
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6.0,7.0,6.0,0.0,5.0,5.0,5.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,3.0,False
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,9.0,8.0,9.0,0.0,9.0,9.0,8.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,7.0,0.0,9.0,8.5,8.5,0.0,8.0,8.5,8.0,0.0,9.5,9.5,9.0,0.0,8.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,False,Third_Place,,False
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7.0,7.0,7.0,0.0,6.0,6.0,6.0,0.0,6.0,7.0,7.0,0.0,7.0,8.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,5.0,False
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,7.0,7.0,7.0,0.0,7.0,6.0,7.0,0.0,8.0,8.0,9.0,0.0,9.0,8.0,9.0,0.0,7.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,7.5,7.5,8.0,0.0,10.0,9.0,9.5,0.0,9.5,9.0,9.5,0.0,9.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,False,Third_Place,,False
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6.0,6.0,6.0,0.0,6.0,5.0,5.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,3.0,False
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8.0,8.0,8.0,0.0,7.0,7.0,7.0,0.0,8.0,9.0,9.0,0.0,7.0,7.0,8.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,5.0,False
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7.0,7.0,8.0,0.0,8.0,8.0,8.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,7.0,7.0,8.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,6.0,False
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,9.0,10.0,9.0,0.0,8.0,8.0,7.0,0.0,8.0,8.0,8.0,0.0,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,7.0,False
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6.0,6.0,6.0,0.0,7.0,7.0,7.0,0.0,6.0,7.0,6.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,9.0,8.0,9.0,0.0,9.0,8.5,8.5,0.0,8.5,8.0,8.5,0.0,8.5,9.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,9.0,False
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7.0,8.0,7.0,0.0,9.0,9.0,9.0,0.0,8.0,7.0,8.0,0.0,10.0,9.0,10.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,8.0,0.0,9.5,8.5,9.5,0.0,9.0,8.0,9.0,0.0,9.0,9.5,9.0,0.0,9.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,False,Runner_up,,False
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,10.0,9.0,10.0,0.0,9.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,9.5,8.0,9.5,0.0,8.5,9.5,9.5,0.0,9.5,9.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False,Winner,,False
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,2.0,False
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5.0,6.0,5.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,2.0,False
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5.0,5.0,5.0,0.0,6.0,7.0,6.0,0.0,7.0,7.0,7.0,0.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,4.0,False
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8.0,8.0,8.0,0.0,9.0,8.0,9.0,0.0,7.0,6.0,8.0,0.0,8.0,7.0,9.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,0.0,8.5,8.5,8.5,0.0,9.0,8.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,8.0,False
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6.0,6.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,1.0,False
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,6.0,5.0,5.0,0.0,8.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,6.0,False
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6.0,6.0,6.5,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,7.0,7.0,8.0,0.0,8.0,8.0,7.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,7.0,False
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7.0,6.5,7.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,8.0,8.0,0.0,10.0,9.0,9.0,0.0,8.0,8.0,7.0,0.0,8.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,8.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,9.0,False
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Withdrawal,,False
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,0.0,7.0,6.0,6.0,0.0,8.0,8.0,8.0,0.0,6.0,7.0,7.0,0.0,9.0,9.0,9.0,0.0,7.0,7.0,7.0,0.0,8.0,9.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,8.0,False
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7.0,7.0,7.5,0.0,8.0,8.0,8.0,0.0,9.0,8.0,8.0,0.0,8.0,7.0,7.0,0.0,8.0,8.0,9.0,0.0,8.0,9.0,8.0,0.0,7.0,7.0,7.0,0.0,9.5,8.5,9.0,0.0,8.5,8.0,8.0,0.0,9.0,9.5,9.0,0.0,0.0,0.0,0.0,0.0,False,Runner_up,,False
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Regular_Elimination,1.0,False
