season,week,original_eliminated,simulated_eliminated,match,actual_bottom_two,simulated_bottom_two,judge_score_original,judge_score_simulated
31,6,Jessie James Decker,Trevor Donovan,False,"['Trevor Donovan', 'Daniel Durant', 'Jordin Sparks', ""Heidi D'Amelio"", 'Vinny Guadagnino']","[""Charli D'Amelio"", 'Trevor Donovan']",32.0,34.0
31,7,Jordin Sparks,Wayne Brady,False,"['Trevor Donovan', 'Daniel Durant', 'Jordin Sparks', ""Heidi D'Amelio"", 'Vinny Guadagnino']","['Wayne Brady', 'Trevor Donovan']",34.5,38.0
31,8,Heidi D'Amelio,Trevor Donovan,False,"['Trevor Donovan', 'Daniel Durant', ""Heidi D'Amelio"", 'Vinny Guadagnino']","['Trevor Donovan', 'Wayne Brady']",35.0,39.0
31,9,Trevor Donovan,Wayne Brady,False,"['Trevor Donovan', 'Daniel Durant']","['Wayne Brady', ""Charli D'Amelio""]",32.5,36.5
32,1,Matt Walsh,Mira Sorvino,False,"['Barry Williams', 'Lele Pons', 'Harry Jowsey']","['Xochitl Gomez', 'Mira Sorvino']",12.0,17.0
32,2,Jamie Lynn Spears,Mira Sorvino,False,"['Barry Williams', 'Lele Pons', 'Harry Jowsey']","['Mira Sorvino', 'Xochitl Gomez']",16.0,18.0
32,3,Tyson Beckford,Mira Sorvino,False,"['Barry Williams', 'Lele Pons', 'Harry Jowsey']","['Mira Sorvino', 'Xochitl Gomez']",20.0,26.0
32,4,Adrian Peterson,Mira Sorvino,False,"['Barry Williams', 'Lele Pons', 'Harry Jowsey']","['Mira Sorvino', 'Xochitl Gomez']",21.0,21.0
32,5,Mira Sorvino,Barry Williams,False,"['Barry Williams', 'Lele Pons', 'Harry Jowsey']","['Barry Williams', 'Xochitl Gomez']",22.0,24.0
32,6,Mauricio Umansky,Jason Mraz,False,"['Barry Williams', 'Lele Pons', 'Harry Jowsey']","['Jason Mraz', 'Xochitl Gomez']",33.0,39.0
32,7,Lele Pons,Lele Pons,True,"['Barry Williams', 'Lele Pons', 'Harry Jowsey']","['Lele Pons', 'Xochitl Gomez']",36.5,36.5
32,8,Barry Williams,Alyson Hannigan,False,"['Barry Williams', 'Harry Jowsey']","['Alyson Hannigan', 'Xochitl Gomez']",35.0,36.0
33,2,Tori Spelling,Dwight Howard ,False,"['Dwight Howard\xa0', 'Phaedra Parks', 'Jenn Tran']","['Dwight Howard\xa0', 'Chandler Kinney']",19.0,22.0
33,3,Eric Roberts,Stephen Nedoroscik,False,"['Dwight Howard\xa0', 'Phaedra Parks', 'Jenn Tran']","['Stephen Nedoroscik', 'Chandler Kinney']",23.0,31.0
33,4,Brooks Nader,Chandler Kinney,False,"['Dwight Howard\xa0', 'Phaedra Parks', 'Jenn Tran']","['Chandler Kinney', 'Danny Amendola']",32.0,32.0
33,5,Phaedra Parks,Ilona Maher,False,"['Dwight Howard\xa0', 'Phaedra Parks', 'Jenn Tran']","['Ilona Maher', 'Chandler Kinney']",24.0,26.0
33,6,Jenn Tran,Jenn Tran,True,"['Dwight Howard\xa0', 'Jenn Tran']","['Dwight Howard\xa0', 'Jenn Tran']",31.0,31.0
34,2,Corey Feldman,Elaine Hendrix,False,"['Danielle Fishel', 'Andy Richter', 'Whitney Leavitt']","['Elaine Hendrix', 'Jordan Chiles']",15.0,21.0
34,3,Lauren Jauregui,Danielle Fishel,False,"['Danielle Fishel', 'Andy Richter', 'Whitney Leavitt']","['Danielle Fishel', 'Jordan Chiles']",18.0,21.0
34,4,Hilaria Baldwin,Elaine Hendrix,False,"['Danielle Fishel', 'Andy Richter', 'Whitney Leavitt']","['Jordan Chiles', 'Elaine Hendrix']",23.0,24.0
34,6,Scott Hoying,Danielle Fishel,False,"['Danielle Fishel', 'Andy Richter', 'Whitney Leavitt']","['Danielle Fishel', 'Jordan Chiles']",28.0,36.0
34,7,Jen Affleck,Jordan Chiles,False,"['Danielle Fishel', 'Andy Richter', 'Whitney Leavitt']","['Jordan Chiles', 'Alix Earle']",34.0,38.0
34,8,Danielle Fishel,Jordan Chiles,False,"['Danielle Fishel', 'Andy Richter', 'Whitney Leavitt']","['Whitney Leavitt', 'Jordan Chiles']",37.0,39.0
34,9,Andy Richter,Jordan Chiles,False,"['Andy Richter', 'Whitney Leavitt']","['Jordan Chiles', 'Robert Irwin']",29.0,39.0
